省份：安徽----------------------------------------------------------------------------------------------------
省份：安徽       | 城市：安庆       | 区县：宿松县          | 代售点：宿松县汇口镇代售点                                           | 代售点地址：安徽省宿松县汇口镇德化路64号                                                     | 营业时间：0730 -1830  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：田家庵区        | 代售点："五一"商场客票代售点                                         | 代售点地址：淮南市田家庵区淮舜北路254号                                                      | 营业时间：0800 -1730  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：田家庵区        | 代售点：国庆路客票代售点                                             | 代售点地址：淮南市田家庵区国庆中路43-1号,老长途汽车站                                        | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：田家庵区        | 代售点：华联客票代售点                                               | 代售点地址：安徽省淮南市田家庵区龙湖路中路,华联大厦东门                                      | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：田家庵区        | 代售点：洞山客票代售点                                               | 代售点地址：安徽省淮南市田家庵区洞山中路12号,新锦江大酒店内                                  | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：谢家集区        | 代售点：蔡家岗客票代售点                                             | 代售点地址：安徽省淮南市谢家集唐山路1号,邮政大厅内                                           | 营业时间：0800 -1730  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：?桥             | 代售点：宿州第六客票代售点                                           | 代售点地址：宿州市?桥区西昌南路皖煤新村107号                                                 | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：?桥区           | 代售点：宿州第三客票代售点                                           | 代售点地址：宿州市桥区汴河中路98号                                                           | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：?桥区           | 代售点：宿州第九客票代售点                                           | 代售点地址：宿州市?桥区胜利东路115号                                                         | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：?桥区           | 代售点：宿州第四客票代售点                                           | 代售点地址：宿州市?桥区浍水西路175号                                                         | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：?桥区           | 代售点：宿州第五客票代售点                                           | 代售点地址：宿州市?桥区银河一路路南10号                                                      | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：灵璧县          | 代售点：灵璧西环路客票代售点                                         | 代售点地址：宿州市灵璧县西环路14号                                                           | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：萧县            | 代售点：陈沟代售点                                                   | 代售点地址：萧县城西汽车站                                                                   | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：萧县            | 代售点：黄口代售点                                                   | 代售点地址：萧县黄口镇人民路35号                                                             | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：萧县            | 代售点：马井代售点                                                   | 代售点地址：萧县马井镇萧黄路168号                                                            | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：萧县            | 代售点：刘套代售点                                                   | 代售点地址：萧县刘套镇人民东路69号                                                           | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：萧县            | 代售点：新庄镇代售点                                                 | 代售点地址：萧县新庄镇古道街261号                                                            | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：萧县            | 代售点：徐州车务段杨楼代售点                                         | 代售点地址：萧县杨楼镇徐商路89号                                                             | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：萧县            | 代售点：王寨客票代售点                                               | 代售点地址：宿州市萧县王寨镇人民路99号                                                       | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：萧县            | 代售点：萧县客票代售点                                               | 代售点地址：安徽省宿州市萧县交通路102号                                                      | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：墉桥区          | 代售点：中铁商业客票代售点                                           | 代售点地址：安徽省宿州市墉桥区胜利路283号                                                    | 营业时间：0800 -1730  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：墉桥区          | 代售点：宿州第二客票代售点                                           | 代售点地址：安徽省宿州市墉桥区符离集镇振兴路68号                                             | 营业时间：0800 -1730  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：泗县            | 代售点：泗县客票代售点                                               | 代售点地址：宿州市泗县北关直属粮库东侧1号                                                    | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：砀山            | 代售点：玄庙镇代售点                                                 | 代售点地址：砀山县玄庙镇果园场67号                                                           | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：砀山            | 代售点：朱楼镇代售点                                                 | 代售点地址：砀山县朱楼镇101省道25号                                                          | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：砀山            | 代售点：砀山邮政代售点                                               | 代售点地址：砀山县中原路车站邮政所                                                           | 营业时间：0900 -1700  | 窗口数量：1 
省份：安徽       | 城市：宿州       | 区县：砀山            | 代售点：李庄镇代售点                                                 | 代售点地址：砀山县李庄镇迎宾大道168号                                                        | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：定远       | 区县：                | 代售点：定远第二代售点                                               | 代售点地址：定远县鲁肃大道伟华新天地C区1016号                                                | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：蚌山区          | 代售点：第二客票代售点                                               | 代售点地址：安徽省蚌埠市蚌山区升平街190号                                                    | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：蚌山区          | 代售点：第一客票代售点                                               | 代售点地址：安徽省蚌埠市蚌山区延安路456号                                                    | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：蚌山区          | 代售点：蚌埠第十客票代售点                                           | 代售点地址：安徽省蚌埠市蚌山区涂山路1757号                                                   | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：蚌山区          | 代售点：蚌埠第八客票代售点                                           | 代售点地址：安徽省蚌埠市蚌山区淮河西路1229号                                                 | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：蚌山区          | 代售点：蚌埠第五客票代售点                                           | 代售点地址：安徽省蚌埠市蚌山区东海大道光彩市场6区14栋44号                                    | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：滁州       | 区县：滁州市          | 代售点：滁州南谯北路客票代售点                                       | 代售点地址：安徽省滁州市南谯北路738号 （滁州市白云宾馆内）                                   | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：定远县          | 代售点：定远第二客票代售点                                           | 代售点地址：滁州市定远县定城镇迎宾东路5号楼16号                                              | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：滁州       | 区县：定远县          | 代售点：定远鲁肃大道客票代售点                                       | 代售点地址：安徽省滁州市定远县鲁肃大道综合楼8号                                              | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：固镇县          | 代售点：固镇客票代售点                                               | 代售点地址：安徽省蚌埠市固镇县谷阳路220号                                                    | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：固镇县          | 代售点：刘集镇客票代售点                                             | 代售点地址：蚌埠市固镇县刘集镇街道（刘集邮政支局）                                           | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：固镇县          | 代售点：任桥镇客票代售点                                             | 代售点地址：蚌埠市固镇县任桥镇街道（任桥邮政支局）                                           | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：固镇县          | 代售点：浍河路客票代售点                                             | 代售点地址：蚌埠市固镇县浍河路338号（浍河路邮政支局）                                        | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：怀远县          | 代售点：怀远客票代售点                                               | 代售点地址：安徽省蚌埠市怀远县禹王路东段162号                                                | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：怀远县          | 代售点：怀远老西门客票代售点                                         | 代售点地址：安徽省蚌埠市怀远县禹王西路东港1号                                                | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：怀远县          | 代售点：找郢乡客票代售点                                             | 代售点地址：蚌埠市怀远县找郢乡找郢村(找郢邮政支局)                                           | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：怀远县          | 代售点：包集镇客票代售点                                             | 代售点地址：蚌埠市怀远县包集镇包集街（包集邮政支局）                                         | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：怀远县          | 代售点：禹王路客票代售点                                             | 代售点地址：蚌埠市怀远县禹王璐583号（禹王路邮政支局）                                        | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：怀远县          | 代售点：河溜镇客票代售点                                             | 代售点地址：蚌埠市怀远县河溜镇河溜村西侧（河溜邮政支局）                                     | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：经济开发区      | 代售点：蚌埠第十四代售点                                             | 代售点地址：蚌埠市经济开发区兴业街302号                                                      | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：龙子湖区        | 代售点：第四客票代售点                                               | 代售点地址：安徽省蚌埠市龙子湖区铁道大酒店一楼                                               | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：龙子湖区        | 代售点：蚌埠第九客票代售点                                           | 代售点地址：安徽省蚌埠市龙子湖区解放路450号                                                  | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：南谯区          | 代售点：峰乐南路客票代售点                                           | 代售点地址：滁州市南谯区丰乐路会峰路交叉口19-21号                                            | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：五河县          | 代售点：五河客票代售点                                               | 代售点地址：安徽省蚌埠市五河县国防路28号                                                     | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：五河县          | 代售点：大新镇客票代售点                                             | 代售点地址：蚌埠市五河县大新镇大新街（大新邮政支局）                                         | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：五河县          | 代售点：淮河路客票代售点                                             | 代售点地址：蚌埠市五河县淮河路西段（淮河路邮政支局）                                         | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：五河县          | 代售点：小圩镇客票代售点                                             | 代售点地址：蚌埠市五河县小圩镇小圩街（小圩邮政支局）                                         | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：新城区          | 代售点：蚌埠第六客票代售点                                           | 代售点地址：安徽省蚌埠市新城区曹凌路2号                                                      | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：禹会区          | 代售点：蚌埠第七客票代售点                                           | 代售点地址：安徽省蚌埠市禹会区张公山路213号                                                  | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：禹会区          | 代售点：蚌埠第十一客票代售点                                         | 代售点地址：安徽省蚌埠市禹会区大庆路150号                                                    | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：禹会区          | 代售点：第三客票代售点                                               | 代售点地址：安徽省蚌埠市禹会区涂山路无线电四厂一楼二号                                       | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：蚌埠       | 区县：禹会区          | 代售点：蚌埠第十二客票代售点                                         | 代售点地址：安徽省蚌埠市禹会区胜利西路21号                                                   | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：滁州       | 区县：滁州市          | 代售点：滁州邮局代售点                                               | 代售点地址：滁州市清流东路541号                                                              | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：滁州       | 区县：滁州市          | 代售点：滁州山水人家代售点                                           | 代售点地址：滁州市丰乐南路86号                                                               | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：滁州       | 区县：凤阳县          | 代售点：凤阳客票代售点                                               | 代售点地址：安徽省滁州市凤阳县府城镇东华路18号                                               | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：滁州       | 区县：来安县          | 代售点：滁州市来安县代售点                                           | 代售点地址：滁州市来安县南大街348号                                                          | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：滁州       | 区县：琅琊区          | 代售点：滁州第二客票代售点                                           | 代售点地址：滁州市琅琊区清流路541号                                                          | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：滁州       | 区县：天长市          | 代售点：滁州天长市代售点                                             | 代售点地址：滁州天长市天康大道广润大厦一楼                                                   | 营业时间：0800 -1800  | 窗口数量：1 
